,tau,a_star,b_star,a_Bayes,b_Bayes
159,0.16,0.857640381019,60.2668903437,0.9730233415,5.69981803515
160,0.161,0.904788566029,43.423158664300004,1.0064101735,-12.4685178374
161,0.162,0.912685205251,31.3469223633,1.03362541684,0.69903018159
162,0.163,0.898331071461,46.9812978371,0.997734784537,-1.14545646526
163,0.16399999999999998,0.879181442685,37.2994724706,0.942221712237,1.3657501095200002
164,0.165,0.851284919428,58.2677285212,1.04398106363,1.17508053632
165,0.166,0.8666619818979999,52.623391525699994,0.946812399633,0.445515834526
166,0.16699999999999998,0.845907449447,58.2903040339,1.08297079875,-4.44144278463
167,0.168,0.873218080317,46.1087520137,0.924614052455,2.17905282717
168,0.16899999999999998,0.79601343602,91.3283835222,0.959754620833,-0.0203302387093
169,0.17,0.8198193892739999,76.7610431655,0.9326809818,11.1688765897
170,0.171,0.890117583633,42.7429532458,1.00888813704,-3.93278069275
171,0.172,0.949665431294,22.8773544017,0.975626922441,-0.408377028457
172,0.173,0.929531408841,34.4351073284,1.07284368225,0.8361545413629999
173,0.174,0.81223765655,75.8470123005,0.975125498675,0.981273343031
174,0.175,0.8626016838889999,64.01232115,0.976550838149,7.83780104281
175,0.17600000000000002,0.821754764563,75.5080846036,1.06109973207,0.371172359226
176,0.177,0.8005389093299999,77.2985043473,1.0175330707,1.89003228124
177,0.17800000000000002,0.857081941014,67.39163439069999,1.05736168192,-0.957665019564
178,0.179,0.8124165515690001,84.7131910264,1.0131101565,-0.399906672123
179,0.18,0.8729788600380001,58.5037241364,0.989866741774,-0.228433302047
180,0.181,0.7287539680959999,116.37856700200001,1.05877931875,-1.00533675094
181,0.182,0.707991074818,129.19969156,1.07406857911,-0.997375069236
182,0.183,0.8359507085510001,63.7096694296,0.99021508472,3.07778071056
183,0.184,0.7870909627760001,87.717148854,1.01706367469,11.4780048911
184,0.185,0.8866501581559999,39.8336620327,0.936755365952,0.992243133495
185,0.18600000000000005,0.888345082679,59.0612229315,1.0586950563200002,-1.38140020866
186,0.187,0.781712721763,101.456842668,1.06438608468,-0.969598606417
187,0.188,0.802439737703,64.1709945959,0.877277489115,11.2601265702
188,0.189,0.81987103559,61.2980687869,0.921327169632,1.07767894214
189,0.19,0.895120951996,39.1359983864,0.992745199497,4.16988140948
190,0.191,0.849956040792,61.449474871599996,1.03092169963,-4.16649533746
191,0.192,0.827441807716,77.3498067828,1.00552520323,1.25089984367
192,0.193,0.7836183916789999,90.6762433727,1.0130286797,0.523715123567
193,0.194,0.7817082813160001,83.0400736359,0.971736331546,2.03816896653
194,0.195,0.844524750758,64.7586623591,0.993411503649,1.46468063833
195,0.196,0.670638685366,136.989786159,0.98457868529,9.54694873228
196,0.197,0.8334850353759999,72.45166194779999,0.975845742045,6.8078885728100005
197,0.198,0.810689066381,79.7022497495,1.0076977771100002,3.20871406178
198,0.199,0.712844506319,119.386972102,0.974206653265,-0.751607068708
199,0.2,0.812207473189,70.3125731909,0.952698432372,5.7120625273800005
200,0.201,0.819004201434,75.1951626879,0.893137471382,11.3742774985
201,0.202,0.6941535587559999,129.375010004,0.977016178593,0.223931772995
202,0.203,0.820119144631,88.7135437042,1.09976479578,-1.25971816898
203,0.204,0.8325385196539999,66.0409566754,1.025184288,5.931814372790001
204,0.205,0.772913364377,94.7516501935,1.04852302541,-1.8731791037
205,0.206,0.85763780412,59.444138108999994,1.0315955788700002,-0.55605374345
206,0.207,0.908433912551,39.1522466852,1.0494791196,-2.44872057963
207,0.208,0.7285547597419999,106.851270226,1.05959897567,-13.720103226800001
208,0.209,0.731470231839,116.19653929100001,1.09638733831,0.181274154714
209,0.21,0.8073090968629999,75.8987503657,1.03468427191,-0.027676357823700003
210,0.211,0.8859350297640001,54.4286876108,1.13934467032,-0.991420865076
211,0.212,0.774635887007,90.24402763319999,0.986196142054,0.7346689719830001
212,0.213,0.8756648688230001,63.95756076560001,1.01655950187,-0.310544098549
213,0.214,0.729459207561,122.723084571,1.00090860517,-1.12279214315
214,0.215,0.624580205458,162.704220774,1.0662476336,0.449911776797
215,0.21600000000000005,0.788438646829,73.7221555631,0.996353575261,0.69492079145
216,0.217,0.718914333249,131.546776273,1.09664903372,-5.30352572602
217,0.218,0.643576621443,143.866983891,1.02088384283,0.817001549877
218,0.219,0.7728090558230001,91.0670108408,0.974818078432,9.27722632882
219,0.22,0.721616427017,122.312632201,0.995106676635,1.5081472437
220,0.221,0.721421776644,117.808077201,1.0297754221200002,0.7818719461110001
221,0.222,0.732928662491,109.333787482,0.966403162498,0.794762934232
222,0.223,0.8283837243559999,64.5495849989,1.00261453627,0.7106061984819999
223,0.224,0.7983292180320001,84.9189887962,0.941340604865,0.463654411437
224,0.225,0.641483635838,137.767170924,0.945586148,-0.268487634812
225,0.226,0.7646611248299999,90.09585583129999,0.995331501493,0.5555459489819999
226,0.227,0.683613888987,135.202390666,1.03555451964,1.29314899784
227,0.228,0.833698803704,77.9457895895,0.955080629337,25.9412536986
228,0.229,0.618601196767,153.66730447700002,0.933756242263,3.29590082079
229,0.23,0.858099056583,64.0089722542,0.96368014648,-2.75672541707
230,0.231,0.74742972362,102.82486175700001,0.949850267557,5.85817384617
231,0.232,0.869724472303,62.436984486099995,1.00082394688,8.292573791110001
232,0.233,0.812281551857,68.5977315774,1.0150890276200002,-0.250552098191
233,0.234,0.8163304868269999,77.1691016803,1.03533205239,-0.153730390635
234,0.235,0.620659159655,147.285233067,1.0731045823999998,-1.24318702675
235,0.236,0.7677831317630001,91.6633304299,1.03223259323,-0.164685194562
236,0.237,0.727641068319,107.96702517700001,1.01156523014,1.3739205495299998
237,0.238,0.748437604141,101.541622474,0.998008511705,3.4996377215900005
238,0.239,0.388007774045,282.44217704700003,0.8737022934729999,18.6997992159
239,0.24,0.664058536419,138.943223958,1.05878150442,-0.533963577161
240,0.24100000000000002,0.7331080751841639,115.73192603879544,0.9556867656226204,1.5654348292209876
241,0.242,0.7200200930108422,112.78222728146619,1.009447164146817,-0.4476790582114605
242,0.243,0.7136886209515921,120.47241475134848,0.9741272991165452,2.387703569288207
243,0.244,0.6933585353493932,120.89662227143391,1.0085264611082043,-1.3020262082197265
244,0.245,0.7320022708231947,100.40448105053888,0.8721206504849697,4.815461755314363
245,0.24600000000000002,0.8137607558547107,85.26274176272722,1.0029602696736497,0.406003055322389
