,tau,a_star,b_star,a_Bayes,b_Bayes
0,0.001,1.00001710063,-0.0124075636493,0.999968031771,-0.0334171536791
1,0.002,1.00026470167,-0.102804181474,0.999922710381,-0.104692021558
2,0.003,1.00000326506,-0.036057447777,0.999498925946,-0.0300485517711
3,0.004,0.998954946141,0.215838560388,0.998830164203,0.0202929354188
4,0.005,0.999699740093,0.0873405847188,0.999447599851,0.29429775872
5,0.006,1.00232454886,-0.655793268789,1.0023590613,-0.322809064711
6,0.006999999999999999,1.00108084163,-0.377881462896,1.00017530677,-0.158617475274
7,0.008,0.999170553531,0.535349659435,0.999485980506,0.00455304957656
8,0.009000000000000001,1.00115564091,-0.481601218803,1.00047541498,-0.11623170477
9,0.01,1.00293042003,-0.788850362896,1.00006151817,-0.0191592195778
10,0.011,0.999966691305,0.168192329917,1.000180723,0.224517051188
11,0.012,1.00099178604,-0.483852160765,1.00024441847,-0.6335147984430001
12,0.013,0.99820812079,0.7775619012970001,0.99769885354,0.954627430478
13,0.014,1.00337849381,-0.387012705534,1.00282070314,-0.72404773731
14,0.015,0.994719551189,0.995091552444,0.995925906137,0.613371872194
15,0.016,1.00099059751,0.6221074627800001,1.0030696465200002,-0.183511675371
16,0.017,0.999100282559,-0.15099977183,0.999694349179,0.00992344760628
17,0.018000000000000002,0.999384996067,1.5963973526100002,1.0023978957700002,0.120707782287
18,0.019,1.00410737146,-1.9994197179,1.00022676227,-0.941908453789
19,0.02,1.00221691889,-0.6901691838930001,1.0021045999200002,-0.6556497877699999
20,0.021,0.999729972862,0.997459974534,1.00067155084,-0.05550957002140002
21,0.022,0.994994516674,4.29380402484,1.00326878204,0.563757384134
22,0.023,0.992538915366,2.67991246959,0.998969015686,0.392519741103
23,0.024,1.00503060805,-0.492129693252,1.00266968668,-0.783167511214
24,0.025,0.998361353757,0.29603214019900004,0.998252780844,-0.508452009427
25,0.026,0.987103594965,4.53853763923,0.996063073514,0.7603792397920001
26,0.027000000000000003,1.00346458454,-0.142852618771,1.00381423327,-0.462892505194
27,0.028,0.992803265229,3.8691662369,0.998583392063,0.426167377994
28,0.029,1.0053512635600002,0.846760004366,1.00625905316,-0.0349293711369
29,0.03,0.992480104486,2.8286096260900004,0.995147889897,1.06405875834
30,0.031,1.00972775328,-1.5040032308899998,1.00587048439,-0.316943290748
31,0.032,0.998935190982,0.262278009387,0.996546777831,0.00878603349044
32,0.033,1.00035851925,1.06883089948,1.00223597264,0.249898978846
33,0.034,1.00774851058,-0.372782495991,1.00803140954,-0.380973798398
34,0.035,1.00383103718,0.17190611026,1.0035217831899998,-0.114843140796
35,0.036000000000000004,1.0037697849299998,0.8803343114650001,1.0020204922700002,-0.148804480212
36,0.037000000000000005,1.01002273663,-0.0954845849542,1.011247608,-0.8219717381020001
37,0.038,0.996201465353,3.55774285409,1.00261495471,0.468255397733
